claim_idx,claim,concat_hate,claim_hate,claim_cw_llm_loop,claim_cw_gold,claim_needed_judge_llm_loop,claim_needed_judge_gold,claim_agreement_count_gold,claim_agreement_count_llm_loop
48_premise0,These figures show that it is not enough to just talk about the restriction of non-white immigration.,1,0.0,CFS,CFS,0.0,0.0,2.0,2.0
49_premise0,Nigerian women don't know how to hold civilised conversations.,1,1.0,CFS,CFS,1.0,0.0,2.0,1.0
50_premise0,Not one of these Hungarians gave one good source validating their preposterous claims.,1,1.0,CFS,CFS,1.0,1.0,1.0,1.0
51_premise0,"In this misery-torn country, there are 70 officially billionaires, tens of thousands millionaires, and tens of millions of poor and miserable people.",1,0.0,CFS,CFS,0.0,0.0,3.0,2.0
52_premise0,Non-whites commit more crimes against whites each year.,1,1.0,CFS,CFS,0.0,0.0,3.0,2.0
53_premise0,The propaganda is created by Jews.,1,1.0,CFS,CFS,1.0,0.0,3.0,1.0
54_premise0,Whites have left black countries alone to do what they do naturally.,1,1.0,CFS,CFS,0.0,0.0,3.0,2.0
55_premise0,Non-whites are becoming a hegemony.,1,1.0,CFS,CFS,0.0,0.0,3.0,2.0
56_premise0,Black people who are not part of the civilized world serve no purpose.,1,1.0,NFS,NFS,1.0,0.0,2.0,1.0
57_premise0,Helping white brothers and sisters see the truth is important.,1,0.0,NFS,NFS,0.0,0.0,3.0,2.0
58_premise0,You should throw the stink bombs on the floor.,1,1.0,NFS,NFS,0.0,0.0,3.0,2.0
59_premise0,"Without a strong family behind her, a young girl is vulnerable.",1,0.0,CFS,CFS,0.0,0.0,2.0,2.0
60_premise0,Blacks and Muslims are everywhere.,1,1.0,CFS,CFS,1.0,0.0,3.0,1.0
61_premise0,The scum are sending millions of their kin to my country.,1,1.0,CFS,CFS,0.0,0.0,3.0,2.0
62_premise0,Our neighborhood was once 99% white.,1,0.0,CFS,CFS,0.0,0.0,2.0,2.0
63_premise0,Another black is trying to convince me that black slaves were force-fed animal lard through huge tubes.,1,1.0,CFS,CFS,0.0,0.0,3.0,2.0
64_premise0,"Him, his wife, and his kids have no place in a white nation.",1,1.0,CFS,NFS,0.0,0.0,2.0,2.0
65_premise0,People from India and Africa can enter Canada on a tourist visa if they can provide proof of ownership of a house in their home country.,1,0.0,CFS,CFS,0.0,0.0,3.0,2.0
66_premise0,Homosexuality is not something to be proud of.,1,1.0,NFS,NFS,1.0,0.0,2.0,1.0
67_premise0,Girls having interratial relationships are condemning their kids and furture generations of kids to a non white future .,1,1.0,CFS,CFS,0.0,0.0,3.0,2.0
68_premise0,"Hopefully, this disgusting lie spread by the Jews will be addressed and corrected one day.",1,1.0,NFS,CFS,1.0,0.0,2.0,1.0
69_premise0,The boys will use the plastic whisks as swords.,1,0.0,NFS,UFS,0.0,0.0,2.0,2.0
70_premise0,Dating a non-white person is considered bad.,1,1.0,CFS,CFS,0.0,0.0,3.0,2.0
71_premise0,Normal whites are outnumbered by wiggers in schools.,1,1.0,CFS,CFS,0.0,0.0,3.0,2.0
72_premise0,The UAF are just a bunch of middle class faggots.,1,1.0,CFS,CFS,1.0,0.0,2.0,1.0
73_premise0,It is considered a dirty move to kick another man in the nuts.,1,0.0,UFS,UFS,1.0,0.0,3.0,1.0
74_premise0,The baby boomers are in control of the country.,1,0.0,CFS,CFS,0.0,0.0,3.0,2.0
75_premise0,There was a black man in my hometown who wore a KKK emblem.,1,0.0,UFS,UFS,1.0,0.0,3.0,1.0
76_premise0,Black and Asian immigrants are coming into our country.,1,0.0,CFS,CFS,0.0,0.0,3.0,2.0
77_premise0,I am glad to hear about my brothers being ready to fight against immigrants.,1,1.0,NFS,NFS,0.0,0.0,2.0,2.0
78_premise0,Gays want gay marriage.,1,0.0,CFS,CFS,0.0,0.0,3.0,2.0
79_premise0,"Yelling at ""the nigs"" will result in consequences such as suspension, getting jumped, and potentially making new ""wn friends""",1,1.0,CFS,CFS,0.0,0.0,3.0,2.0
80_premise0,A wolf is pretty but you don't wanna pet one.,1,0.0,NFS,CFS,1.0,0.0,2.0,1.0
81_premise0,The pakis are not trying to fit in.,1,0.0,CFS,CFS,1.0,0.0,3.0,1.0
82_premise0,"Asiacourt used to be a beautiful, safe and white area in Scarborough.",1,1.0,CFS,CFS,0.0,0.0,2.0,2.0
83_premise0,Jews have a history of coming up with fake hate crimes.,1,1.0,CFS,CFS,0.0,0.0,3.0,2.0
84_premise0,"Mexican gang members constantly kicked me, preventing me from completing my homework.",1,1.0,CFS,UFS,0.0,0.0,2.0,2.0
85_premise0,"Welcoming ""leeches"" into society is not acceptable.",1,1.0,NFS,CFS,1.0,0.0,2.0,1.0
86_premise0,These knackers/pykies have no respect for their race or loyalty to Ireland .,1,1.0,CFS,CFS,1.0,0.0,3.0,1.0
87_premise0,We wouldn't do to Afganies what they are doing in our country.,1,0.0,NFS,CFS,0.0,0.0,2.0,2.0
88_premise0,"In Africa, people have proven to be incapable of feeding themselves.",1,1.0,CFS,CFS,0.0,0.0,3.0,2.0
89_premise0,I have always considered teaching as one of the professions I would like to get into.,1,0.0,NFS,NFS,0.0,0.0,2.0,2.0
90_premise0,I have had problems at one or two places that were infested with groids.,1,1.0,UFS,UFS,1.0,0.0,2.0,1.0
91_premise0,You are white and you are better then them.,1,1.0,CFS,CFS,1.0,0.0,2.0,1.0
92_premise0,Anyone who cannot or will not take responsibility and be master of their own lives is already a slave.,1,0.0,NFS,NFS,1.0,0.0,2.0,1.0
93_premise0,Even after being nearly murdered for being white Mr. Begley is still a ridiculous * * * * * * -loving fool .,1,1.0,CFS,UFS,1.0,0.0,2.0,1.0
94_premise0,Many whites live in rural areas or small towns.,1,0.0,CFS,CFS,0.0,0.0,3.0,2.0
95_premise0,We are all whites.,1,0.0,CFS,CFS,1.0,0.0,3.0,1.0
96_premise0,Africans in South Africa have murdered over 40 thousand of them since the end of White rule.,1,1.0,CFS,CFS,0.0,0.0,3.0,2.0
97_premise0,"Homosexuals use the argument that there are no ""red letters"" about their behavior to justify it.",1,0.0,CFS,CFS,0.0,0.0,3.0,2.0
98_premise0,The Blacks and Hispanics should have their own school and have worse education.,1,1.0,NFS,NFS,1.0,0.0,3.0,1.0
99_premise0,The jews that tried to get here were all sent back to Germany.,1,0.0,CFS,CFS,0.0,0.0,3.0,2.0
100_premise0,We have evolved to be better.,1,0.0,CFS,UFS,1.0,1.0,1.0,1.0
101_premise0,i dont think this Muslim killed him because he thought the swedish boy looked like a racist.,1,0.0,NFS,NFS,1.0,0.0,2.0,1.0
102_premise0,"The word ""racist"" makes people being called racist think they are doing something wrong.",1,0.0,CFS,CFS,1.0,0.0,2.0,1.0
103_premise0,There are 1 million or more illegal immigrants working in the service industry.,1,0.0,CFS,CFS,0.0,0.0,3.0,2.0
104_premise0,"Birmingham was once known as the ""workshop of the world"" and a city of a thousand trades.",1,0.0,CFS,CFS,0.0,0.0,3.0,2.0
105_premise0,Nigeria is acting like one big ghetto queen.,1,1.0,NFS,NFS,1.0,0.0,2.0,1.0
106_premise0,Liberals want to blame White people.,1,1.0,CFS,CFS,1.0,0.0,3.0,1.0
107_premise0,Muslims breed like vermin.,1,1.0,CFS,CFS,0.0,0.0,3.0,2.0
108_premise0,Jews of Summer Redstone and MTV put likes on media posts.,1,0.0,CFS,CFS,1.0,0.0,2.0,1.0
109_premise0,"Ignorant lefties fight for ""their class"".",1,1.0,CFS,CFS,1.0,1.0,1.0,1.0
110_premise0,The sickening media brainwashes the negroes.,1,1.0,CFS,CFS,1.0,0.0,2.0,1.0
111_premise0,Black and brown refugees that are flooding the country now are fake.,1,1.0,CFS,CFS,0.0,0.0,3.0,2.0
112_premise0,The teams should represent the best of our nations.,1,0.0,CFS,CFS,0.0,0.0,2.0,2.0
113_premise0,"My wife 's favorite place in Ireland is in the Kingdom , Cloghane Village , and O' Connor 's pub.",1,0.0,UFS,UFS,0.0,0.0,2.0,2.0
114_premise0,They show disrespect to other people because they know it pisses the whites off.,1,1.0,CFS,CFS,1.0,0.0,2.0,1.0
115_premise0,Average negro lacks the intellect for basic firearms training.,1,1.0,CFS,CFS,1.0,0.0,3.0,1.0
116_premise0,It's time for some old west justice.,1,1.0,NFS,NFS,0.0,0.0,3.0,2.0
117_premise0,My wife had to spend time at the UP Hospital in Philadelphia.,1,0.0,UFS,UFS,0.0,0.0,3.0,2.0
118_premise0,Walmart is full of * * * * ing pakis and * * * * in there .,1,1.0,CFS,CFS,1.0,0.0,2.0,1.0
119_premise0,White kids need to interact with kneegrows and other non white kids.,1,1.0,NFS,CFS,1.0,0.0,3.0,1.0
120_premise0,I was unaware that the bar was owned by a person of color.,1,0.0,UFS,UFS,1.0,0.0,3.0,1.0
121_premise0,The communist party was mostly composed of Jews.,1,0.0,CFS,CFS,0.0,0.0,3.0,2.0
122_premise0,A lot of houses are being bought in my area.,1,0.0,CFS,CFS,0.0,0.0,2.0,2.0
123_premise0,All of the security guards I see are white.,1,0.0,CFS,CFS,0.0,0.0,2.0,2.0
124_premise0,Nothing is being done to negroes when a crime is committed.,1,1.0,CFS,CFS,0.0,0.0,3.0,2.0
125_premise0,A bitch that is hungry for a dick is not worth reasoning with.,1,1.0,NFS,NFS,0.0,0.0,2.0,2.0
126_premise0,The remaining whites are leaving London.,1,0.0,CFS,CFS,0.0,0.0,3.0,2.0
127_premise0,Kingston upon Thames is infested by immigrants.,1,1.0,CFS,CFS,0.0,0.0,3.0,2.0
128_premise0,Bodybuilding contests only have whites and maybe one or two blacks.,1,0.0,CFS,CFS,0.0,0.0,3.0,2.0
129_premise0,The Swedes were once known as the most peaceful people in the world.,1,0.0,CFS,CFS,0.0,0.0,3.0,2.0
130_premise0,We need to prioritize every white child and adult is fed.,1,1.0,NFS,NFS,1.0,0.0,3.0,1.0
131_premise0,Marco is a German patriot and musician.,1,0.0,CFS,UFS,1.0,0.0,3.0,1.0
132_premise0,Stupid brown savages are slaughtering animals and worshipping them in India.,1,1.0,CFS,CFS,1.0,0.0,3.0,1.0
133_premise0,when you drive you have to swing.,1,0.0,UFS,UFS,0.0,0.0,2.0,2.0
134_premise0,There have been times when I have walked past some Nigerian or skinny people.,1,0.0,UFS,UFS,1.0,0.0,3.0,1.0
135_premise0,There is an anti-white festival in town.,1,0.0,CFS,UFS,1.0,0.0,2.0,1.0
136_premise0,Blacks have to run from lions and tigers.,1,1.0,CFS,CFS,1.0,0.0,2.0,1.0
137_premise0,The Jews are sending their third world minions after the European people.,1,1.0,CFS,CFS,0.0,0.0,3.0,2.0
138_premise0,Foreign nationals have invaded our country.,1,1.0,CFS,CFS,0.0,0.0,3.0,2.0
139_premise0,"Having a black, Kenyan White-hating muslime in the Whitehouse has created something bad.",1,1.0,CFS,CFS,0.0,0.0,2.0,2.0
140_premise0,The dirty birds in a filthy jew kosher slaughterhouse posed a health risk to the community.,1,1.0,CFS,CFS,0.0,0.0,2.0,2.0
141_premise0,she seems to think the Blacks wo n't kill her alongside every other White they can get their dirty hands on.,1,1.0,CFS,NFS,0.0,0.0,2.0,2.0
142_premise0,A person that is second generation London Jamaican is giving out about Ireland.,1,0.0,NFS,UFS,0.0,0.0,2.0,2.0
143_premise0,60% of homosexuals already have AIDS.,1,0.0,CFS,CFS,0.0,0.0,3.0,2.0
144_premise0,This woman has a child by a mulatto.,1,0.0,NFS,UFS,1.0,0.0,2.0,1.0
145_premise0,I'm going to college with black people.,1,0.0,UFS,UFS,0.0,0.0,3.0,2.0
146_premise0,There are many alternatives to adopting babies. Surrogate mothers and invitro fertilization are just two.,1,0.0,CFS,CFS,0.0,0.0,3.0,2.0
147_premise0,The apes went nuts and I could not control them.,1,1.0,CFS,UFS,1.0,0.0,2.0,1.0
148_premise0,Black people are in the middle of the street.,1,0.0,UFS,UFS,1.0,0.0,3.0,1.0
149_premise0,The mother has biracial kids.,1,0.0,UFS,UFS,1.0,0.0,3.0,1.0
150_premise0,Monkeys and Apes are noble creatures and they rarely act violently.,1,0.0,CFS,CFS,1.0,0.0,3.0,1.0
151_premise0,Not one of these Hungarians gave one good source validating their claims.,1,0.0,CFS,UFS,1.0,0.0,3.0,1.0
152_premise0,"In this misery-torn country, there are 70 officially billionaires, tens of thousands millionaires, and tens of millions of poor and miserable people.",1,0.0,CFS,CFS,0.0,0.0,3.0,2.0
153_premise0,Our neighborhood was once 99% white.,1,0.0,CFS,CFS,0.0,0.0,2.0,2.0
154_premise0,White girls are attracted to young black people.,1,0.0,CFS,CFS,0.0,0.0,2.0,2.0
155_premise0,Asiacourt used to be a beautiful area in Scarborough.,1,0.0,CFS,CFS,1.0,1.0,1.0,1.0
156_premise0,I have had problems at one or two places where there were black people.,1,0.0,UFS,UFS,1.0,0.0,3.0,1.0
157_premise0,Even after being nearly murdered for being white Mr. Begley is still loving black people.,1,0.0,CFS,UFS,0.0,0.0,2.0,2.0
158_premise0,There are 1 million or more illegal immigrants working in the service industry.,1,0.0,CFS,CFS,0.0,0.0,3.0,2.0
159_premise0,Nigeria is squeezing out more babies.,1,0.0,CFS,CFS,0.0,0.0,3.0,2.0
160_premise0,It's time for some justice.,1,0.0,NFS,NFS,0.0,0.0,3.0,2.0
161_premise0,The dirty birds in a filthy jew kosher slaughterhouse posed a health risk to the community.,1,1.0,CFS,CFS,0.0,0.0,2.0,2.0
162_premise0,vile hordes are invading our lands.,1,1.0,CFS,CFS,1.0,0.0,3.0,1.0
163_premise0,people from various countries are willing to desert their homelands and families to come to a small island.,1,1.0,CFS,CFS,1.0,0.0,3.0,1.0
164_premise0,we might look down on blacks and pakis as scum and not want them living near us.,1,0.0,NFS,NFS,0.0,0.0,3.0,2.0
165_premise0,leicester has a large queer population.,1,1.0,CFS,CFS,0.0,0.0,3.0,2.0
166_premise0,anti-whites are keen to come on here and tell us that all is lost.,1,1.0,CFS,CFS,1.0,0.0,2.0,1.0
167_premise0,ukraine nationalists and right wing should understand that our white race in all nations in europe north america australia and south africa along with any other white nations should support each other and join together.,1,1.0,NFS,NFS,1.0,0.0,3.0,1.0
168_premise0,"living in a border state, texas, the problems of illegal aliens is a stark reality.",1,1.0,CFS,CFS,1.0,0.0,3.0,1.0
169_premise0,non-whites love the infighting among white people.,1,1.0,CFS,CFS,1.0,0.0,2.0,1.0
170_premise0,abortion is leading to the genocide of the black race.,1,0.0,CFS,CFS,0.0,0.0,3.0,2.0
171_premise0,california is full of sick self-hating whites.,1,0.0,CFS,CFS,1.0,0.0,2.0,1.0
172_premise0,ra-heem had a gun with 17 bumps and jose disrespected him in front of og people.,1,1.0,UFS,UFS,0.0,0.0,3.0,2.0
173_premise0,this is the last year in school for the target of hate.,1,0.0,UFS,UFS,0.0,0.0,3.0,2.0
174_premise0,muslims rule the streets every friday.,1,0.0,CFS,CFS,0.0,0.0,2.0,2.0
176_premise0,i watch fights on gay parade in budapest together with my friends from hungary.,1,0.0,UFS,UFS,0.0,0.0,3.0,2.0
177_premise0,two niglet boys were being hostile and ready to rumble.,1,0.0,UFS,UFS,1.0,0.0,3.0,1.0
178_premise0,i want to express my hatred towards a certain group of people.,1,1.0,NFS,NFS,0.0,0.0,3.0,2.0
179_premise0,"when i was last time in south africa, we went to sun city and saw little black monkey children swimming. .",1,1.0,UFS,UFS,1.0,0.0,3.0,1.0
180_premise0,the jew media likes to prop this whites becoming the minority non sense up because they want to try and scare whitey.,1,0.0,CFS,CFS,0.0,0.0,2.0,2.0
181_premise0,"people need to stand up and say ""no, we have had enough"".  .",1,0.0,NFS,NFS,0.0,0.0,3.0,2.0
182_premise0,the talmud says vile and despicable things about mary and jesus.,1,0.0,CFS,CFS,0.0,0.0,3.0,2.0
183_premise0,moscow is being cleaned in a certain way.,1,0.0,CFS,CFS,0.0,1.0,1.0,2.0
184_premise0,i had the luck to meet some africans in the past.,1,0.0,UFS,UFS,0.0,0.0,3.0,2.0
185_premise0,couple befriend negroid.,1,1.0,NFS,UFS,0.0,0.0,2.0,2.0
186_premise0,Every action he's taken reveals that he is completely unacceptable as a citizen in White societies.,1,1.0,CFS,UFS,0.0,0.0,2.0,2.0
187_premise0,"If it was a poor black fella bashed, it would be on the news for weeks on end.",1,1.0,CFS,CFS,0.0,1.0,1.0,2.0
188_premise0,Little shops were white runned and owned and would hire people from the community.,1,0.0,CFS,CFS,0.0,0.0,2.0,2.0
189_premise0,Egyptians are about to hand power to a bunch of hard line Islamic fundamentalists.,1,1.0,CFS,CFS,0.0,0.0,2.0,2.0
190_premise0,Plenty of whites have sold us down the river so to speak.,1,1.0,CFS,CFS,1.0,0.0,2.0,1.0
191_premise0,London nowadays is more dangerous for tourists than Zimbabwe.,1,1.0,CFS,CFS,0.0,0.0,3.0,2.0
192_premise0,Lebanese and other Arabs have been intimidating white women on Cronulla beach.,1,1.0,CFS,CFS,0.0,0.0,3.0,2.0
193_premise0,In mid 2000 there were no non-White people in Mildura.,1,0.0,CFS,CFS,0.0,0.0,3.0,2.0
194_premise0,It would be fun to put on a minstrel show.,1,0.0,NFS,NFS,0.0,0.0,3.0,2.0
195_premise0,White race tend to be the smartest race.,1,1.0,CFS,CFS,0.0,0.0,3.0,2.0
196_premise0,"Bicycling is primarily a white activity, like sunbathing, going swimming, playing golf, tennis, and attending a social function without a brawl taking place.",1,1.0,CFS,CFS,0.0,0.0,3.0,2.0
197_premise0,There are seven billion humans on the planet.,1,0.0,CFS,CFS,0.0,0.0,3.0,2.0
198_premise0,"Miscegenation destroys perfectly good DNA, even nonwhite DNA.",1,1.0,CFS,CFS,1.0,0.0,3.0,1.0
199_premise0,There are too many negroes around here.,1,1.0,NFS,NFS,0.0,0.0,2.0,2.0
200_premise0,"every time i go to galway city, i see a lot of black people. .",1,0.0,UFS,UFS,1.0,0.0,2.0,1.0
201_premise0,one of her daughters may have died.,1,0.0,UFS,UFS,1.0,0.0,3.0,1.0
202_premise0,i have seen some very beautiful white women.,1,0.0,UFS,UFS,1.0,0.0,2.0,1.0
203_premise0,david bernstein is a member of a certain tribe.,1,0.0,CFS,UFS,0.0,0.0,2.0,2.0
204_premise0,"police have arrested someone on moore street, dublin city centre.  .",1,0.0,CFS,UFS,0.0,0.0,2.0,2.0
205_premise0,there are many people of different backgrounds living in the same town.,1,0.0,CFS,CFS,1.0,0.0,2.0,1.0
206_premise0,he thought i might [say something],1,0.0,NFS,NFS,0.0,0.0,3.0,2.0
207_premise0,those in the countries mentioned are the mongrel offspring between whites (aryans) and arabs.,1,0.0,CFS,UFS,1.0,0.0,2.0,1.0
208_premise0,white liberal neighborhoods and gated communities are too white.,1,0.0,CFS,CFS,0.0,0.0,2.0,2.0
209_premise0,there are only 10 black kids in our school and 300 hispanic kids.,1,0.0,CFS,CFS,0.0,0.0,2.0,2.0
210_premise0,my high school is 100% white.,1,0.0,CFS,CFS,0.0,0.0,2.0,2.0
211_premise0,your house door was locked.,1,0.0,UFS,UFS,0.0,0.0,3.0,2.0
212_premise0,they act as if negros with aids should have the right to reproduce.,1,1.0,NFS,NFS,0.0,0.0,2.0,2.0
213_premise0,whites today have white guilt laid upon them.,1,0.0,UFS,NFS,1.0,0.0,2.0,1.0
214_premise0,all of his friends should know about this book.,1,0.0,NFS,NFS,1.0,0.0,3.0,1.0
215_premise0,i just saw a hershey's commercial on tv.,1,0.0,UFS,UFS,0.0,0.0,3.0,2.0
216_premise0,we have to do our part and speak out loud about the fact that hate is not being reported in the news or in the newspapers.,1,0.0,CFS,CFS,0.0,0.0,2.0,2.0
217_premise0,finland has the lowest immigration rate in europe.,1,0.0,CFS,CFS,0.0,0.0,3.0,2.0
218_premise0,"irish 87.4%, other white 7.5%, asian 1.3%, black 1.1%, mixed 1.1%, unspecified 1.6% (2006 census). .",1,0.0,CFS,CFS,1.0,0.0,3.0,1.0
219_premise0,african people are receiving welfare payments.,1,0.0,CFS,CFS,0.0,0.0,3.0,2.0
220_premise0,"every time i go to galway city, i see a lot of niggas.",1,1.0,NFS,UFS,1.0,0.0,2.0,1.0
221_premise0,white liberal neighborhoods and gated communities are too white.,1,0.0,CFS,CFS,0.0,0.0,2.0,2.0
222_premise0,there are only 10 niggas in our school and 300 fucking hispanic kids.,1,1.0,CFS,CFS,0.0,0.0,2.0,2.0
223_premise0,my high school is 100% white.,1,0.0,CFS,CFS,0.0,0.0,2.0,2.0
224_premise0,i just saw a hershey's commercial on tv.,1,0.0,UFS,UFS,0.0,0.0,3.0,2.0
225_premise0,"irish 87.4%, other white 7.5%, asian 1.3%, black 1.1%, mixed 1.1%, unspecified 1.6% (2006 census). .",1,0.0,CFS,CFS,1.0,0.0,3.0,1.0
226_premise0,An Irish prison is like a luxury hotel.,1,0.0,CFS,CFS,0.0,0.0,3.0,2.0
227_premise0,White nationalists spread fear in blacks by claiming that Jews do not care for them.,0,,CFS,CFS,0.0,0.0,3.0,2.0
228_premise0,"Some Serbian beings are known as Bauk, Bukavac, Cikavac, Psoglav, Stuhać, Sreća, Zduhać, etc.",0,,CFS,CFS,0.0,0.0,3.0,2.0
229_premise0,Two thirds of bright pupils at age 11 are directed towards soft subjects at GCSE.,0,,CFS,CFS,0.0,0.0,2.0,2.0
230_premise0,i was brought up the same way my father always told me if someone hit me i was to hit them back and twice as hard so they thought twice about doing it again,0,,NFS,UFS,0.0,0.0,2.0,2.0
231_premise0,I havent seen a white security gaurd for years,0,,UFS,UFS,1.0,0.0,3.0,1.0
232_premise0,"In Germany and other Western European countries, Nazis are banned from everywhere.",0,,CFS,CFS,0.0,0.0,3.0,2.0
233_premise0,That 's the only beach i 've ever been to and then again i 've only been 4 or so times,0,,UFS,UFS,1.0,0.0,3.0,1.0
234_premise0,I sit around everyday saying white pride and all.,0,,UFS,UFS,1.0,0.0,3.0,1.0
235_premise0,I am new on here and so far i like most of what i have seen.,0,,NFS,NFS,0.0,0.0,3.0,2.0
236_premise0, I was on his call list there at the hospital,0,,UFS,UFS,0.0,0.0,3.0,2.0
237_premise0,It is about time damn it If we keep listening to the damn Ass teachers we are going to change from Aryan to Airy,0,,NFS,NFS,1.0,0.0,2.0,1.0
