file_id,idx,text_ed,IS,weak,concat,concat_hate,premise0_cw_annA_platinum,premise1_cw_annA_platinum,premise2_cw_annA_platinum,premise3_cw_annA_platinum,premise4_cw_annA_platinum,premise5_cw_annA_platinum,conclusion_cw_annA_platinum,premise0_cw_annB_platinum,premise1_cw_annB_platinum,premise2_cw_annB_platinum,premise3_cw_annB_platinum,premise4_cw_annB_platinum,premise5_cw_annB_platinum,conclusion_cw_annB_platinum,premise0_cw_annC_platinum,premise1_cw_annC_platinum,premise2_cw_annC_platinum,premise3_cw_annC_platinum,premise4_cw_annC_platinum,premise5_cw_annC_platinum,conclusion_cw_annC_platinum,premise0_cw_platinum,premise1_cw_platinum,premise2_cw_platinum,premise3_cw_platinum,premise4_cw_platinum,premise5_cw_platinum,conclusion_cw_platinum,premise0_needed_judge_platinum,premise1_needed_judge_platinum,premise2_needed_judge_platinum,premise3_needed_judge_platinum,premise4_needed_judge_platinum,premise5_needed_judge_platinum,conclusion_needed_judge_platinum
14406890_1,10,There are things we can do to stop the rapes that occur when blacks and other non whites con white women and girls into getting in cars with them etc For a start teach our women to respect themselves .,people of color are rapists.,premise0,"Black and other non-white individuals are responsible for conning white women and girls into getting in cars with them. There are things we can do to stop the rapes that occur when blacks and other non whites con white women and girls into getting in cars with them etc. Therefore, We should teach our women to respect themselves.",1,CFS,UFS,,,,,NFS,CFS,CFS,,,,,NFS,NFS,NFS,,,,,NFS,CFS,UFS,,,,,NFS,0.0,1.0,,,,,0.0
31754206_1,11,ya my little sister doesnt like little black girls when they try to talk to her she pulls a disgusted face and says why are you black ?? and i laugh and say `` Maggie dont talk to her '',black folks are inferior to whites.,conclusion,"My little sister does not like little black girls. When a little black girl tries to talk to my sister, she pulls a disgusted face. Therefore, I tell my little sister not to talk with black girls.",1,NFS,UFS,,,,,UFS,UFS,UFS,,,,,NFS,UFS,UFS,,,,,UFS,UFS,UFS,,,,,UFS,0.0,0.0,,,,,0.0
30640962_1,12,"``Confrontingthe Girl Who Shot Me In the Face '' -- Dr. Phil - YouTube The female negro is making excuses like its not her fault but we all know its TNB , I feel for that poor white woman",black folks are criminals.,premise1,"The black female perpetrator is making excuses for her actions. We all know the female negro is responsible of the crime. Therefore, I feel for the white woman who is the victim.",1,UFS,UFS,,,,,NFS,UFS,CFS,,,,,NFS,UFS,NFS,,,,,UFS,UFS,CFS,,,,,NFS,0.0,1.0,,,,,0.0
13862375_2,13,Seen some black girl about 6 years old begging on grafton street once and we were coming out of a shop a few mins later when her father pulls up in a decent car. scum. the lot of them .,black folks are scum.,conclusion,"Saw a young girl begging on Grafton Street. The father of the young girl had a decent car. Therefore, Black people are scum.",1,UFS,UFS,,,,,NFS,UFS,UFS,,,,,NFS,UFS,NFS,,,,,NFS,UFS,UFS,,,,,NFS,0.0,0.0,,,,,0.0
31766409_1,14,HIV will do its job. the fags keep searching for a cure but they will never find one because it keeps on changing and mutating. already 60 percent of faggot apes have AIDS and it continues to grow .,gay men have HIV.,conclusion,"60% of faggot apes already have AIDS. The fags (homosexuals) are searching for a cure for HIV. HIV is constantly changing and mutating. Therefore, The fags (homosexuals) will never find a cure for HIV.",1,CFS,CFS,CFS,,,,CFS,CFS,CFS,CFS,,,,NFS,CFS,CFS,CFS,,,,NFS,CFS,CFS,CFS,,,,NFS,0.0,0.0,0.0,,,,0.0
14660756_1,15,"Your both our enemies plain and simple , jews try to destroy us with their immigration and the jew would not be able to get as far as they did if many of them did not look white .",jewish people are trying to destroy the country.,conclusion,"The Jews would not have been able to get as far as they did without looking white. Therefore, The Jews are using their white appearance to further their goal of destroying us through immigration.",1,CFS,,,,,,CFS,NFS,,,,,,CFS,NFS,,,,,,NFS,NFS,,,,,,CFS,0.0,,,,,,0.0
30627161_1,16,"If black monkeys are on my property i call animal control and defend my family and property with whatever means possible , simply talking sense to a monkey and pointing at it will not stop it from misbehaving !",black folks are monkeys.,premise0,"Simply talking sense to a black monkey and pointing at it will not stop it from misbehaving. Therefore, I must use whatever means necessary to stop the black monkeys from misbehaving.",1,NFS,,,,,,NFS,CFS,,,,,,NFS,NFS,,,,,,NFS,NFS,,,,,,NFS,0.0,,,,,,0.0
13269862_1,17,"As soon as i found out she was with child by a mulatto and she 's a wet back too , I suddenly found her to be repulsive and shall never watch anything she is in again .",people of color are repulsive.,conclusion,"This woman has a child by a mulatto and she 's a wet back too. Therefore, I suddenly found this woman to be repulsive and shall never watch anything she is in again.",1,UFS,,,,,,NFS,UFS,,,,,,NFS,UFS,,,,,,UFS,UFS,,,,,,NFS,0.0,,,,,,0.0
14040305_1,18,"Its about time we as a nation take matters into our own hands , over throw the government stop the white genocide deport all immigrants and establish a government to help indigenous white Britons rebuild this country .",immigrants are destroying the country.,conclusion,"White genocide is happening. Therefore, Action needs to be taken to overthrow the government, stop white genocide, deport immigrants, and establish a new government to help indigenous white Britons rebuild the country.",1,CFS,,,,,,NFS,CFS,,,,,,NFS,CFS,,,,,,NFS,CFS,,,,,,NFS,0.0,,,,,,0.0
14071005_1,19,"Like it or not , and I certainly do n't , but Ireland , especially NI is littered with memorials to , and even statues of , red terrorists .",communists are terrorists.,premise0,"Ireland, especially Northern Ireland, is filled with memorials and statues of red terrorists. Therefore, I certainly don't like this fact.",1,CFS,,,,,,NFS,CFS,,,,,,NFS,CFS,,,,,,UFS,CFS,,,,,,NFS,0.0,,,,,,0.0
13465908_1,20,"France has been gone for a long time , we will have to retake it later because there will be no French people in not too long .",immigrants are taking over the country.,premise1,"France has been gone for a long time. There will be no French people in not too long in France. Therefore, We will have to retake France later.",1,CFS,NFS,,,,,NFS,CFS,CFS,,,,,NFS,NFS,CFS,,,,,NFS,CFS,CFS,,,,,NFS,0.0,0.0,,,,,0.0
14412910_1,21,All of this diversity crap needs to stop soon whites will be extinct and I 'm not living in a brown world I want a clean white world,black people are inferior to whites.,premise1,"Soon whites will be extinct.  I 'm not living in a brown world, I want a clean white world. Therefore, All of this diversity crap needs to stop.",1,CFS,NFS,,,,,NFS,CFS,NFS,,,,,NFS,CFS,NFS,,,,,NFS,CFS,NFS,,,,,NFS,0.0,0.0,,,,,0.0
30742787_1,22,I'm not really surprised - now going to college with blacks I can tell you they continue to behave in such a manner even in higher education .,black people behave badly.,premise1,"I'm going to college with blacks. Blacks continue to behave in a certain manner even in higher education. Therefore, I am not surprised by the behavior of blacks in higher education.",1,UFS,CFS,,,,,NFS,UFS,CFS,,,,,NFS,UFS,NFS,,,,,UFS,UFS,CFS,,,,,NFS,0.0,0.0,,,,,0.0
13273318_1,23,I've heard the name before but I too have no idea who she is .. one of the benefits of turning off the Talmudivision and watching very few modern movies,jews are evil.,premise0,"I don't watch the Talmudivision and I watch very few modern movies. Therefore, I have no idea who she is.",1,UFS,,,,,,NFS,UFS,,,,,,NFS,UFS,,,,,,UFS,UFS,,,,,,NFS,0.0,,,,,,0.0
30429635_1,24,When asked how I knew the holocaust was a lie my answer was if it was the truth there would be no laws against saying it was a lie .,jewish folks are liars.,premise0,"If the holocaust was the truth, there would be no laws against saying it was a lie. Therefore, The holocaust is a lie.",1,CFS,,,,,,CFS,CFS,,,,,,CFS,CFS,,,,,,CFS,CFS,,,,,,CFS,0.0,,,,,,0.0
30712850_3,25,"If the Jews are allowed to decide for everyone the correct version of history , I 'm sure they 'll eventually re-write the history around Jesus Christ .",jewish people are greedy.,premise0,"The Jews have the power to decide the correct version of history for everyone. Therefore, The Jews will eventually re-write history around Jesus Christ.",1,CFS,,,,,,CFS,CFS,,,,,,CFS,CFS,,,,,,NFS,CFS,,,,,,CFS,0.0,,,,,,0.0
31757189_1,26,There are many alternatives to adopting little mud babies.There is srrogate mothers and invitro fertilization are just two.If these are not financialy possile then wait till it is .,women are sluts.,conclusion,"There are many alternatives to adopting little mud babies. Surrogate mothers and invitro fertilization are just two. These solutions might not be financially possible. Therefore, You should wait until these alternative solutions are financially possible rather than adopting mud babies.",1,CFS,NFS,,,,,NFS,CFS,CFS,,,,,NFS,CFS,CFS,,,,,NFS,CFS,CFS,,,,,NFS,0.0,0.0,,,,,0.0
14283736_1,27,"To hell with making a stand , i think we should all go to the southwest and go on the offenceive and drive every race down into Mexico .",immigrants are a threat to the country.,conclusion,"We should not limit ourselves to make a stance. Therefore, We should go to the southwest and go on the offensive and drive every race down into Mexico.",1,NFS,,,,,,NFS,NFS,,,,,,NFS,NFS,,,,,,NFS,NFS,,,,,,NFS,0.0,,,,,,0.0
13502514_1,28,Africa is a hole area of natural resources and only made mud huts from it ... what wild life are able to make even better huts ie birds,africans are incompetent.,premise1,"Africa is an area rich in natural resources. The people of Africa only use these resources to make mud huts. Therefore, Birds are able to make better huts than the people of Africa.",1,CFS,CFS,,,,,UFS,CFS,CFS,,,,,UFS,CFS,CFS,,,,,CFS,CFS,CFS,,,,,UFS,0.0,0.0,,,,,0.0
13503418_1,29,"Yes, before age of 10 i never saw an negro in real life , when i moved to Holland i was horrified by the amount of non-whites .",black people are inferior to whites.,conclusion,"Before the age of 10, I had never seen a black person in real life. Therefore, I was horrified by the amount of non-white people after moving to Holland.",1,UFS,,,,,,CFS,UFS,,,,,,CFS,UFS,,,,,,UFS,UFS,,,,,,CFS,0.0,,,,,,0.0
30679927_2,30,"Homosexuals practice a perverse lifestyle that destroys the body , mind , and soul just as drug use does ; merely two paths to the same destructive end .",homosexuals are sef-destructive,premise0,"Homosexuals practice a perverse lifestyle that destroys the body , mind , and soul. Therefore, Homosexuals and drug users are both on a path to a destructive end.",1,CFS,,,,,,NFS,CFS,,,,,,CFS,CFS,,,,,,CFS,CFS,,,,,,CFS,0.0,,,,,,0.0
30691153_1,31,Americans and Irish understand each other better than Spaniards and the beaners .. the US and Ireland are the 1st world so they are educated unlike the beaners .,immigrants are inferior to whites.,premise1,"the US and Ireland are the 1st world so they are educated unlike the beaners . Therefore, Americans and Irish understand each other better than Spaniards and the beaners.",1,CFS,CFS,,,,,CFS,CFS,CFS,,,,,CFS,CFS,CFS,,,,,CFS,CFS,CFS,,,,,CFS,0.0,0.0,,,,,0.0
33677053_1,32,"Why White people used to say that sex was a sin used to be a mystery to me until I saw the children of browns and mixed race children popping up all around me. There, I understood the consequences of interracial relationships.",black people are inferior to whites.,premise1,"White people used to say that sex was a sin. I saw children of browns and mixed race children popping up all around them. I did not understand why this was the case. Therefore, I understood the consequences of interracial relationships.",1,CFS,UFS,NFS,,,,CFS,UFS,UFS,NFS,,,,CFS,CFS,UFS,UFS,,,,UFS,CFS,UFS,NFS,,,,CFS,0.0,0.0,0.0,,,,0.0
12848217_3,33,"I was basically a babysitter , and the apes went nuts , and frankly , I could not control them and had to press the panic button twice to get someone to help me from the apes.",black folks are apes.,conclusion,"The apes went nuts and I could not control them. Therefore, I had to press the panic button twice to get someone to help me from the apes.",1,UFS,,,,,,UFS,UFS,,,,,,UFS,UFS,,,,,,UFS,UFS,,,,,,UFS,0.0,,,,,,0.0
31744151_1,34,things u put on yer teeth just kidding ... seen guys with those things that suppose to hold up pants ? theyre red or white ? and theyre not belts. welcome to skinhead charades .,skinheads are a joke.,premise0,"Skinheads wear things on their teeth that are supposed to hold up pants. Therefore, Welcome to skinhead charades.",1,CFS,,,,,,NFS,UFS,,,,,,NFS,CFS,,,,,,NFS,CFS,,,,,,NFS,0.0,,,,,,0.0
12843325_1,35,We have a little piece of legislation called the Prohibition of Foreign Military Assistance Act This prohibits mercs from operating in South Africa. on pain of five years of hell in a kaffer jail .,black folks are mercenaries.,conclusion,"There is a piece of legislation called the Prohibition of Foreign Military Assistance Act. The punishment for violating this law is five years in a kaffer jail. Therefore, This prohibits mercs from operating in South Africa.",1,CFS,CFS,,,,,CFS,UFS,CFS,,,,,NFS,CFS,CFS,,,,,CFS,CFS,CFS,,,,,CFS,0.0,0.0,,,,,0.0
14102803_1,36,id like kids eventually. but not now. as for your sterlization. that is great. there really is no use for ppl to produce kids if they are wackos. being a nutjob is herditary .,people with disabilities shouldn't be able to reproduce,conclusion,"As for your sterilization, that's great, as you won't be able to reproduce. You are a nutjob. Being a nutjob is hereditary. Therefore, There's no use for people to produce kids if they are wackos because they will be nutjobs as well.",1,NFS,NFS,CFS,,,,CFS,UFS,UFS,CFS,,,,CFS,NFS,NFS,NFS,,,,NFS,NFS,NFS,CFS,,,,CFS,0.0,0.0,0.0,,,,0.0
13857116_1,37,This filth is a sectarian Irish song. The sort of scum who wrote and admire this filth have no place on a White Nationalist forum yet alone an Irish forum,Irish are scum.,premise1,"This filth is a sectarian Irish song. The sort of scum who wrote and admire this filth have no place on a White Nationalist forum. Therefore, They only have place on an Irish forum.",1,UFS,CFS,,,,,CFS,UFS,UFS,,,,,UFS,UFS,NFS,,,,,NFS,UFS,NFS,,,,,NFS,0.0,1.0,,,,,1.0
13553208_1,38,Is that couple in the second picture with the dark yellow background an Asian female with a White male or is it something that looks like it designed to send the same message ? Asians shouldn't mix with Whites.,Asian people are inferior to white folks.,conclusion,"There is a couple in a picture that consists of an Asian female and a White male. The couple is being used to promote interracial relationships. Therefore, Asians shouldn't mix with Whites.",1,UFS,CFS,,,,,NFS,UFS,UFS,,,,,NFS,CFS,CFS,,,,,CFS,UFS,CFS,,,,,NFS,0.0,0.0,,,,,0.0
13866393_1,39,So now Stormfront Ireland is solely responsible for all racist attacks in Ireland. lol Ted is right this is the work of the Kikes those * * * * ers are never happy with what they get in Ireland.,jewish are criminals.,premise1,"Stormfront Ireland is solely responsible for all racist attacks in Ireland. Kikes are never happy with what they receive in Ireland. Therefore, This is the work of those * * * * ers Kikes.",1,CFS,CFS,,,,,UFS,CFS,UFS,,,,,UFS,CFS,CFS,,,,,NFS,CFS,CFS,,,,,UFS,0.0,0.0,,,,,0.0
13474456_1,40,"zpridez NO big deal , I got your drift.IMO If these bellyaching Black peoples et al continue to negate/or ignore the present ' Products of Progress ' within society we 're all doomed .",black people are incompetent.,conclusion,"Black people and others are constantly complaining and ignoring the progress in society. Therefore, We are all doomed.",1,CFS,,,,,,UFS,CFS,,,,,,UFS,CFS,,,,,,NFS,CFS,,,,,,UFS,0.0,,,,,,0.0
14676826_1,41,"Some whites are corrupt whores for Jewish supremacists , therefore Whites should not oppose Jewish supremacist extermination of all Whites and JS efforts to control humanity 's future .",jews are trying to control the world,conclusion,"Some whites are corrupt whores for Jewish supremacists. Jewish supremacists are trying to control humanity's future. Therefore, Whites should not oppose Jewish supremacist extermination of all Whites and JS efforts to control humanity's future.",1,CFS,CFS,,,,,NFS,UFS,CFS,,,,,NFS,NFS,CFS,,,,,NFS,CFS,CFS,,,,,NFS,1.0,0.0,,,,,0.0
31041845_1,42,"The jews represent everything vile , deviant and unnatural , everything and anything that is an abomination to our Lord Jesus Christ , I hope he is burning with his father in hell .",jewish folks are deviants and unnatural.,premise1,"The jews are seen as representing everything vile, deviant, and unnatural. They are considered to be an abomination to our Lord Jesus Christ. Therefore, I hope jews are burning in hell with their father.",1,CFS,CFS,,,,,NFS,CFS,CFS,,,,,NFS,CFS,CFS,,,,,NFS,CFS,CFS,,,,,NFS,0.0,0.0,,,,,0.0
30500196_1,43,"Just wait until they find a school where Asian girls are more violent and stupid than black males , and the leftists will have a plan on how to fight the achievement gap .",people of color are stupid and violent,premise0,"Asian girls might be more violent and stupid than black males. Therefore, The leftists will have a plan on how to fight the achievement gap in this case.",1,CFS,,,,,,UFS,CFS,,,,,,CFS,CFS,,,,,,CFS,CFS,,,,,,CFS,0.0,,,,,,0.0
14658037_2,44,We should have a new version of the old Plantation system where every white person on earth makes millions of dollars off of the enslaved labor of all the non-Whites in the world .,black people are slaves.,premise0,"The old Plantation system was profitable (resulting in millions of dollars) for white people. Non-Whites were enslaved and forced to work on plantations. Therefore, We should have a new version of the old Plantation system.",1,CFS,CFS,,,,,NFS,CFS,CFS,,,,,NFS,CFS,CFS,,,,,NFS,CFS,CFS,,,,,NFS,0.0,0.0,,,,,0.0
13455369_4,45,"WE GOT MONEY AROUND HERE TOO Compton Crips Pt.1 - YouTube These negroes are in the middle of the street , seems like something of a zoo , playing with their cheap lowriders .",black folks act like animals.,conclusion,"These negroes are in the middle of the street. They seem like something of a zoo. They are playing with their cheap lowriders. Therefore, Black people actions are indicative of the Compton Crips gang's behavior.",1,UFS,CFS,UFS,,,,CFS,UFS,UFS,UFS,,,,CFS,UFS,NFS,UFS,,,,CFS,UFS,NFS,UFS,,,,CFS,0.0,1.0,0.0,,,,0.0
14023352_1,46,put the kids in a ophanage and arrest the whore of a mother to a point of not having more biracial kids 8 kids have to suffer all their lives to due a whore,black folks shouldn't reproduce.,conclusion,"The mother is a whore. The mother has biracial kids. The kids will suffer all their lives because of their mother. Therefore, The mother should be arrested and the kids should be put in an orphanage.",1,NFS,UFS,CFS,,,,NFS,UFS,UFS,UFS,,,,NFS,NFS,UFS,NFS,,,,NFS,NFS,UFS,UFS,,,,NFS,0.0,0.0,1.0,,,,0.0
14411178_1,47,Actually Monkeys and Apes are more noble creatures and rarely act violent it really is unfare to the Monkeys and Apes to be compared with subhuman Negroids who are by contrast very murderous .,black people are violent.,premise1,"Monkeys and Apes are noble creatures and they rarely act violently. Subhuman Negroids are by contrast very murderous. Therefore, It is unfair to compare Monkeys and Apes with subhuman Negroids.",1,CFS,CFS,,,,,NFS,CFS,CFS,,,,,NFS,CFS,CFS,,,,,CFS,CFS,CFS,,,,,NFS,0.0,0.0,,,,,0.0
14030423_1,48,These figures show that no one now could just talk about the need to restrict non-white immigration ( as the current government does ) ; large-scale repatriation of non-whites is absolutely essential .,immigrants should be deported.,conclusion,"These figures show that it is not enough to just talk about the restriction of non-white immigration. The current government talks about restricting non-white immigration. Therefore, Large-scale repatriation of non-whites is absolutely essential.",1,CFS,CFS,,,,,CFS,CFS,CFS,,,,,CFS,NFS,CFS,,,,,NFS,CFS,CFS,,,,,CFS,0.0,0.0,,,,,0.0
13639875_1,49,"how could you have a debate with a nigerian woman ! pity i wasn't listening in , should have been a good laugh listening to that person trying to hold a civilised conversation",nigerian folks are inferior.,premise0,"Nigerian women don't know how to hold civilised conversations. I regret not being able to witness the debate. Therefore, Having a debate with a Nigerian woman would be entertaining as she would struggle.",1,CFS,NFS,,,,,CFS,CFS,NFS,,,,,UFS,NFS,NFS,,,,,NFS,CFS,NFS,,,,,NFS,0.0,0.0,,,,,1.0
14059957_1,50,"Notice how not one of these Hungarians gave one good source validating their preposterous claims , they just came here to complain and start name calling , just as stupid liberals do .",hungarians and liberals are stupid.,conclusion,"Not one of these Hungarians gave one good source validating their preposterous claims. Hungarians just came here to complain and start name calling. Stupid liberals also behave in the same manner. Therefore, Hungarians and liberals don't know how to give good arguments.",1,NFS,NFS,NFS,,,,CFS,CFS,CFS,UFS,,,,NFS,UFS,CFS,CFS,,,,NFS,CFS,CFS,NFS,,,,NFS,1.0,0.0,1.0,,,,0.0
13492128_1,51,"somebody``hcf''calledputin``ahero''!lololol!This``hero''finallytransformedformersovietjewnion in ``russian''judea!In this misery-torn country-are there-70 officially billionaries , tens f thousands millionaries , and tens of millions of poor and miserable who look for their pittance at the garbage places !",jews are greedy.,conclusion,"In this misery-torn country, there are 70 officially billionaires, tens of thousands millionaires, and tens of millions of poor and miserable people. The poor and miserable people look for their pittance at garbage places. Therefore, Putin finally transformed former Soviet Union into Russian Judea.",1,CFS,CFS,,,,,CFS,CFS,UFS,,,,,CFS,CFS,CFS,,,,,CFS,CFS,CFS,,,,,CFS,0.0,0.0,,,,,0.0
14414465_3,52,http://www.abc25.com/Global/story.asp ? S = 5352185 Non whites commit far more crimes against whites each year but its never considered a hate crime and alot of them never spend any time in jail !,black folks are criminals.,premise0,"Non-whites commit more crimes against whites each year. These crimes are not considered hate crimes. Therefore, Many of these non-whites do not go to jail.",1,CFS,CFS,,,,,CFS,CFS,CFS,,,,,CFS,CFS,CFS,,,,,CFS,CFS,CFS,,,,,CFS,0.0,0.0,,,,,0.0
12858198_1,53,"I will at least never willingly pay to see this propaganda , maybe just watch it for free to show the influence the jews have got in the white genocide to people .",jewish people are manipulative.,premise1,"The propaganda is created by Jews. The Jews are using their propaganda to influence the white genocide. Therefore, I will at least never willingly pay to see this propaganda.",1,CFS,CFS,,,,,NFS,CFS,CFS,,,,,NFS,CFS,CFS,,,,,NFS,CFS,CFS,,,,,NFS,0.0,0.0,,,,,0.0
30570257_1,54,Look what happens when Whites leave black Countries alone to do what they do naturally The blacks in White Countries today should be on their knees thanking Whites for trying to civilize them,black people are inferior to whites.,conclusion,"Whites have left black countries alone to do what they do naturally. black people is uncivilized. Therefore, The blacks in white countries should be on their knees thanking whites for their efforts to civilize them.",1,CFS,CFS,,,,,NFS,CFS,CFS,,,,,NFS,CFS,CFS,,,,,NFS,CFS,CFS,,,,,NFS,0.0,0.0,,,,,0.0
32940552_1,55,"If we are White and wish to save this country rather than have it turn into a disorderly non-White hegemony , then we are all at a loss for what to do .",black people are inferior to whites.,conclusion,"Non-whites are becoming a hegemony. Therefore, We are all at a loss to prevent the country from becoming a disorderly non-White hegemony.",1,CFS,,,,,,CFS,CFS,,,,,,CFS,CFS,,,,,,NFS,CFS,,,,,,CFS,0.0,,,,,,0.0
13332658_1,56,Let mother nature evolve these preople naturally because no amount of money or aid is going to drag these ' things ' into the civilized world where they serve absolutely no purpose .,black people are uncivilized.,premise0,"Black people who are not part of the civilized world serve no purpose. No amount of money or aid can bring these people into the civilized world. Therefore, Mother nature should be allowed to evolve these people naturally.",1,CFS,CFS,,,,,NFS,NFS,CFS,,,,,NFS,NFS,CFS,,,,,NFS,NFS,CFS,,,,,NFS,0.0,0.0,,,,,0.0
13455266_2,57,The raw footage of these black beasts in their moments of candor is so much more revealing and persuasive for helping our fellow white brothers and sisters see the truth than a thousand books could ever be .,black folks are animals.,conclusion,"Helping white brothers and sisters see the truth is important. A thousand books could never be as effective as raw footage. Therefore, The raw footage of beasts is more effective than books.",1,NFS,CFS,,,,,CFS,NFS,UFS,,,,,UFS,NFS,CFS,,,,,CFS,NFS,CFS,,,,,CFS,0.0,0.0,,,,,0.0
